Country,Segment,Total Coverage,publication_year,Audit Name,Audit Type,Data Source,Universe,Projection,Frequency (MIDAS),Backdata (MIDAS),Sales Level,Local Currency,Icons not on MIDAS,Segments not covered,"Covered locally, not on MIDAS",Notes,Market Segment,Frequency (Local),Backdata (Local),Corporation,Market Segmentation
Ukraine,Retail,~1.0,2022,Ukraine Monthly Retail Sale In,Retail Sell-in,"4,500 Pharmacies","20,500 Pharmacies",Yes,Monthly,From M01 2010,Trade,Ukrainian Hryvnia,-,-,-,"Notes

•   The Ukraine Retail audit covers sales of ethical pharmaceuticals through retail pharmacies, supplied by national, regional and local wholesalers as well as direct distribution from manufacturers
•   Ukraine data via IQVIA is pharmacy data supplied by Proxima and then subject to IQVIA coding & product reference rules. As a result there are differences in product reference coding and differences in the use of ATC classification between IQVIA outputs and Proxima outputs
•   Ukraine data on MIDAS is restricted, and not available for purchase unless an underlying subscription to the local Proxima audit is in place",0.88,Monthly,From M01 2009,Local,-
Turkey,Hospital,~1.0,2022,Turkey Hospital Index (THI),Hospital Sell-in,196 wholesalers (174 regular + 22 tender wholesalers),"1,609 hospitals",Not projected,Monthly,144 months,Manufacturer,Turkish Lira,"Distributor, DDD, DOT",,"Reimbursement Status, TPEQCD ( Theurapeutic Equavalance Code)","Notes

•   The Turkish hospital audit covers sales of ethical pharmaceuticals through wholesalers to hospitals such as Government, Private, University hospitals
•   Sales to military hospitals are not covered as they purchase direct from the manufacturer",0.13,Monthly,60 months,Local and MIDAS,Local
Turkey,Retail,~1.0,2022,Turkey Pharmaceutical Index (TPI),Retail Sell-in,174 wholesaler depots,"26,456 Pharmacies",Not projected,Monthly,144 months,Manufacturer,Turkish Lira,"Distributor, DDD, DOT",Government,"Reimbursement, TPEQCD ( Theurapeutic Equavalance Code)","Notes

•   The TPI covers sales of ethical and non-ethical pharmaceuticals through wholesalers to retail pharmacies
•   Audit does not cover sales by manufacturers or through wholesalers to government or other institutions such as the Army
•   In 2014, free goods were removed from values only in the audit, and returns included, with backdata changes being applied retroactively from M01 2009",0.87,Monthly,60 months,Local and MIDAS,Local
Tunisia,Hospital,1,2022,The Tunisian Hospital and Institutions Index (TUH),Hospital Sell-in,Census data collected from PCT (Pharmacie Centrale de Tunisie),,Not projected,Monthly,From M01 2011,Public,Tunisian Dinar,-,-,-,Null,0.3,Monthly,From M01 2011,Local,MIDAS
Tunisia,Retail,1,2022,Le Marche Pharmaceutique Tunisien (LMPT),Retail Sell-in,29 wholesalers,,54 projection factors,Monthly,144 months,Public,Tunisian Dinar,-,-,-,Null,0.7,Monthly,60 months,Local,MIDAS
Thailand,Hospital,0.93,2022,Thailand Healthcare Index (TLHI),Hospital sell-in,"217 General Hospital (55,415 beds), 21 Specialized Hospital (4,329 beds)","1,195 General Hospitals (145,572 beds), 48 Specialized Hospital
(7,790 beds)",Yes,Monthly,144 months,Trade,Thai Baht,DDD,"Health centres, private clinics",-,"Notes

•   The TLHI is a nation-wide survey which covers the purchases of pharmaceutical products of hospitals in Thailand
•   This includes private and government (plus military and university) hospitals. The audit also reflects estimated sales to Specialized Hospitals
•   From a universe of 48, a sample of  21 specialist hospitals covered including Psyche & Neuro, Ob. Gyn., Dermatology, Pediatrics, Ophthalmology & ENT, Oncology, and Respiratory Diseases",0.71,Monthly,60 months,Local and MIDAS,Local
Thailand,Retail,0.93,2022,Thailand Pharmaceutical Index (TLPI),Retail Sell-in,"366 drugstores, plus panel of distributors & direct manufacturers","18,476 drugstores (4,436 in Bangkok)",Projection by panel type (Drugstore class A and class B),Quarterly,48 quarters,Trade,Thai Baht,DDD,"Traditional medicine shops, groceries, supermarkets etc.",-,"Notes

•   The Thailand pharmaceutical audit reports sales movement of ethical and over-the-counter preparations through Class A and Class B drugstores located throughout Thailand
•   Class A drugstores are those licensed to deal with the full range of pharmaceutical products and legally should employ full time pharmacist in attendance
•   Class B drugstores are legally
licensed to deal with only OTC items
•   The report does not include the sales of pharmaceuticals through hospitals (both government and private), clinics, government and military establishments as well as commercial firms, e.g. estates, factories and other industrial enterprises. It also excludes traditional medicine shops, groceries and supermarkets, etc.",0.22,Quarterly,20 quarters,Local and MIDAS,Local
Taiwan,Hospital,0.97,2022,Taiwan Hospital Pharmaceutical Audit (TWHA),Hospital Consumption,"101 hospitals with 58,100 beds","356 hospitals with 131,143 beds",Projected to universe level by stratum and then consolidated to provide nation-wide figures,Monthly,144 months,Trade,New Taiwan Dollar,-,-,-,"Notes

•    The Taiwan Hospital audit covers hospital utilization of pharmaceutical products
in Taiwan
•    The audit does not cover the sales of pharmaceutical products through clinics, which total 16,749 and usually have less than 50 beds each, or no beds at all
•    Government Employee Clinic Centres (National Health Insurance Clinic Centers), Sun Yat-Sen Cancer Centre, Kuen-Ming Branch of Taipei City Hospital Disease Control & Prevention and psychiatric hospitals are also included
•    The universe was stratified into 3 distinct types, government (public & military), private, and psychiatric, to account for their difference in utilization characteristics. Further stratification was done to reflect the difference in utilization characteristics by hospital accreditation. The sampling strata consists of 2 types of hospitals (government and private) and 3 accreditation classes (Medical Centers, Regional Hospitals, Area Hospitals), and 2 accreditation classes (Teaching and Non- teaching Hospitals) in Psychiatric Hospitals",0.83,Monthly,60 months,-,-
Taiwan,Retail,0.97,2022,Taiwan Pharmaceutical Audit (TWPA),Retail Sell-in,"400 drugstores, 260 dispensing doctors","10,222 drugstores, 16,710 doctors",Projected to the national level by type of sampling unit,Quarterly,48 quarters,Trade,New Taiwan Dollar,-,-,-,"Notes

•   The TWPA covers sales of pharmaceuticals through drugstores and private clinics located in Taipei, Kaohsiung and 4 regions
•   The panel of drugstores provides purchase invoices/records issued from manufacturers, wholesalers, and other sources including pharmaceutical traders and importers
•   The report covers pharmaceuticals sold through drugstores and private clinics but does not include sales through government health stations and hospitals or other government and military establishments",0.14,Quarterly,20 quarters,-,-
Switzerland,Hospital,1,2022,Spitalmarktmonitor Schweiz (SMM),Hospital Sell-in,Deliveries of ~90 manufacturers and wholesalers in a joint data pool,~300 hospitals,Not projected,Monthly,144 months,Manufacturer,Swiss Francs,-,-,-,"Notes

•   The Swiss Hospital Audit panel was redesigned in Q106
•   The Hospital Market Monitor Switzerland covers the monthly deliveries of around 90 manufacturers or importers together with diverse wholesalers (wholesalers, purchase organization, doctors’ suppliers or mail order pharmacies)
•   Medicament sales to hospitals are recorded in line with Swissmedic categories
•   Data is supplied in anonymous form",0.25,Monthly,120 months,Local and MIDAS,-
Switzerland,Retail,1,2022,APO/SD Index Schweiz (APO/SD),Retail Sell-in,"Deliveries of ~107 manufacturers, wholesalers, doctors suppliers, buying groups and mail order pharmacies in a joint data pool","1,822 pharmacies, 5,257 doctors, 483 drugstores",Not projected,Monthly,144 months,Manufacturer,Swiss Francs,-,-,-,"Notes

•   The APO/SD covers pharmacies, self- dispensing doctors and drugstores. All sales and changes for pharmaceutical specialities to pharmacies, doctors' practices and drugstores are recorded for the listed wholesalers
•   Miscellaneous manufacturers/importers report all sales to pharmacies/drugstores and doctors' practices to IQVIA
•   The audit includes the Duchy of Liechtenstein",0.75,Monthly,120 months,Local and MIDAS,-
Sweden,"Combined, Retail, Hospital",1,2022,Pharmaceutical Market Sweden,Sell-in,3 wholesalers,3 wholesalers and an unknown numbers of direct distributors,Not projected,Monthly,144 months,Trade,Swedish Krona,-,-,Veterinary products,"Notes

•   The data source available for Pharmaceutical Market Sweden on MIDAS is Pharmacy Purchase data
•   Hospital data remains a measure of purchases by hospital pharmacies
•   ATC changes can be applied as soon as they are identified in the Pharmacy Market Sweden audit, while MIDAS update on an annual cycle",~98%,Monthly,36 months,Local,Local
Sri Lanka,Retail,0.58,2022,Sri Lanka Pharmaceutical Audit (SLPA),Retail Sell-in,"184 pharmacies, including government owned retail outlets","3,053 pharmacies",Yes,Quarterly,From Q1 2007,Trade,Sri Lanka Rupees,-,"Government and private hospitals, dispensing doctors",-,"Notes

•   The SLPA covers pharmacies purchases from distributors via a panel of 163 pharmacies
•   Sales to government hospitals, private hospitals and institutions and dispensing doctors are not covered within the SLPA",0.58,Quarterly,20 quarters,-,-
Spain,Hospital,0.99,2022,El Mercado Hospitalario (EMH),Hospital Consumption,"97 hospitals with 40,035 beds","769 hospitals with 158,256 beds","Yes, using a classification for the type, size and number of beds of the hospital .",Monthly,144 months,Manufacturer,Euro,-,"Military, prisons",-,"Notes

•   A sample of hospital pharmacies reports information on 97 hospitals, covering 19% of hospitals and 25% of the total number of beds in the country. All the data is projected to national level using a classification for the type, size and number of beds of the hospital
•   The following hospitals have been excluded from the universe and from the sample:
-   Ministry of Defence
-   Penitentiary Hospitals
-   Monographic Hospitals
-   C.C.A.A. Ceuta and Melilla",0.35,Monthly,60 months,MIDAS,Local and MIDAS
Spain,Sell-Out,0.99,2022,National Prescription Audit (NPA),Retail Sell-out,"5,430 pharmacies","22,070 pharmacies","Yes, by applying a projection factor to each territorial unit",Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•   The NPA monitors sales out of retail pharmacies and includes public prescriptions, private prescriptions, self-medication, collected from a panel of 5.430 pharmacies
•   The NPA contains data at both Public and manufacturer level. MIDAS input level is at manufacturer level",0.64,Monthly,60 months,MIDAS,Local and MIDAS
Spain,Retail,0.99,2022,El Mercado Farmacéutico (EMF),Retail Sell-in,"93 wholesalers and 1,200 pharmacies to collect direct sales","95 Wholesalers, 20,553 pharmacies","Yes, by applying a projection factor to each territorial unit",Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•   In Spain data is collected from a mixed sample of retail pharmacies and wholesalers
•   The universe comprises all the pharmacies and wholesalers in the country, taking into account all the different types of wholesaler and direct sales from manufacturer to pharmacy. All data is projected to national level by applying a projection factor to each territorial unit
•   The following channels are excluded:
-   Sales to hospitals, clinics, drug stock in companies, schools, residences of Social Security, consultation centres of the Social Security, General Directorate of Health, drug stocks in Armed Forces, military pharmacies, etc.
-   Free samples
-   Exports",0.64,Monthly,60 months,MIDAS,Local and MIDAS
South Africa,State Hospital,1,2022,State Hospital Market South Africa – Hospital (DVISA),State Hospital Sell-in,"Distributors, and some manufacturer direct sales, plus sales into state from tender base from 4 depots in South Africa",4 of 9 geographical regions,Not projected - 40% actual read,Quarterly,48 quarters,Trade,South African Rand,-,"Mines Benefit Society hospitals, municipal clinics, military hospitals,
correctional services, 5 of 9 geographical regions",-,"Notes

•   The Hospital Audit reflects sales into the state/government sector
•   The audit reports actual purchase data from provincial medical supply centres of 4 of the 9 provinces in South Africa. (Western Cape, North-West, Northern Cape, Mpumalanga & Limpopo are  not included)
•   Provincial Depots are reported at an average tender price ex VAT
•   Direct Sales are reported at SEP
(single exit price) ex VAT
•   Quarterly audit",0.14,Quarterly,20 quarters,-,MIDAS
South Africa,Retail,1,2022,Pharmaceutical Market South Africa – Retail (PMSA),Retail Sell-in,"Distributors, wholesalers, direct sales from manufacturers","2,991 pharmacies",91% actual and a 9% projection factor,Monthly,144 months,Trade,South African Rand,-,"Buying groups, mail order",-,"Notes

•   PMSA is based upon an analysis of purchases made by retail pharmacies in the Republic of South Africa. Data consist of two types of purchases:
-   Indirect sales via distributors and wholesalers
-   Direct sales from manufacturers
•   The PMSA does not cover buying groups or mail order channels, which are covered the in the South Africa Total Market (TPM) panel",0.62,Monthly,60 months,-,MIDAS
South Africa,Total Market,1,2022,Total Private Market (TPM),Retail Sell-in,"Distributors, wholesalers, direct sales from manufacturers, buying groups","2,991 Pharmacies, 257 Private hospitals , 8555 Purchasing Physicians, 5 Mail Order, 947 Other Private",91% actual and a 9% projection factor,Monthly,144 months,Trade,South African Rand,-,Public hospitals,-,"Notes

•   The TPM Audit measures the Total Private Pharmaceutical market and covers Retail Private Pharmacies, Purchasing Physicians/Dispensing Doctors, Private hospitals and other non-retail pharmacy outlets
•   Anatomical ATC class classifications by active pharmaceutical ingredient across schedules (i.e. schedule 6 and below)
•   Classified according to active pharmaceutical ingredient",0.86,Monthly,60 months,-,MIDAS
Slovenia,Combined,0.98,2022,Slovenia Pharmaceutical Index,Combined Sell-in,"12 wholesalers + direct sales, covering >98% of registered market","29 Hospitals, 339 Pharmacies",Not projected,Monthly,144 months,Trade,Euros,"DDD, DOT",Exports,Sales levels at both manufacturer and trade in local audit,"Notes

•   The Slovenian Pharmaceutical Index is an unprojected combined pharmacy and hospital audit, which covers over 98% of the pharmaceutical market
•   The Audit currency changed to Euros from Q1 2007
•   Alongside the M01 2014 data supply, out of ordinary demand sales for products which have been identified as being exported were removed retroactively from M01 2012, thereby ensuring measurement of true domestic supply only
•   Sales values and prices are reported at both manufacturer and trade levels locally, but the MIDAS output is at trade level",0.97,Monthly,60 months,Local and MIDAS,Local and MIDAS
Slovakia,Hospital,0.97,2022,Slovak Republic Pharmaceutical Index (SRHI),Hospital Sell-in,21 wholesalers (100% coverage),101 hospital pharmacies,Not projected – census coverage,Monthly,144 months,Manufacturer,Euro,"DDD, DOT","Specialist distribution channels, army, welfare centres","Social Services, Vendor of selected products, Green Pharmacy, Internet Pharmacy, Infant home, Sanitary goods, Cosmetic care","Notes

•   The SRHI is an unprojected measurement of wholesaler sales data, with census coverage of volumes going through wholesalers to hospital pharmacies",0.12,Monthly,60 months,Local and MIDAS,MIDAS
Slovakia,Retail,0.97,2022,Slovak Republic Pharmaceutical Index (SRPI),Retail Sell-in,21 wholesalers (99% coverage),"2,250 retail pharmacies & subsidiaries",Not projected,Monthly,144 months,Manufacturer,Euro,"DDD,DOT","Specialist distribution channels, army, welfare centres","Social Services, Vendor of selected products, Green Pharmacy, Internet Pharmacy, Infant home, Sanitary goods, Cosmetic care","Notes

•   The SRPI is an unprojected measurement of wholesaler sales data, with coverage of 99% of volumes going through wholesalers to retail pharmacies and subsidiaries",0.85,Monthly,60 months,Local and MIDAS,MIDAS
Singapore,Others (Hospital),0.87,2022,Singapore Others Report (SOR),Hospital Sell-in,"Panel data from other small institutions and service hospitals
Direct data from Distributors and manufacturers (subscribers who sells)","18 Polyclinics, multitude of service hospitals, nursing centres, patient associations","No projection is SOR, only direct data reported",Quarterly,48 quarters,Trade,Singapore Dollars,"DDD, DOT",-,-,"Notes

•    In Singapore, the primary healthcare role is fulfilled by government polyclinics and private clinics. The polyclinics provide subsidised outpatient medical care, health screening and pharmacy services, with some offering dental services as well. The Ministry of Health states that only 20% of primary healthcare is currently provided by the polyclinics versus 80% by private medical practitioners

•    There are currently eighteen polyclinics located throughout the island, and these are managed by the two vertically integrated delivery networks or clusters, National Healthcare Group (NHG) and Singapore Health Services (Singhealth)

•    The Singapore Government report was renamed locally to Singapore Others Report (SOR) in Q2 2012 so as to better reflect the nature of the data, as it covers data from several sources other than government channel

•    Effective Q4 2015, panel data from suppliers with units but no values are given a fixed price of 1",0.05,Quarterly,20 quarters,Local,-
Singapore,Combined,0.87,2022,Singapore Pharmaceutical Audit (SPA),Combined Sell-in,"Panel data; 55 private doctors, 3,287 hospital beds, 121 pharmacies, Direct data: distributors and direct manufacturers (75% market coverage)","2,381 doctors, 350 pharmacies, 13,591 private hospital beds","DDM data is unprojected
Doctor, pharmacy and hospital panels projected",Quarterly,48 quarters,Trade,Singapore Dollars,"DDD, DOT","Supermarkets, Non-pharmacist drugstores & retail outlets, exports",-,"Notes

•   The SPA covers pharmaceutical sales to dispensing doctors, private & restructured hospitals and retail pharmacies
•   It consists of 55 doctors (inclusive of group practice doctors),
121 pharmacies and 3,287 private and restructured hospital beds. The dispensing doctors panel consists of general practitioners (both solo and in group practices) and specialists.
The sample value of SPA doctors, pharmacies and hospitals are projected
•   Data from the distributors and direct manufacturers (DDM) panel is unprojected
•   Bonus or official free goods are included in the SPA.",0.82,Quarterly,20 quarters,Local,-
Serbia,Combined,0.93,2022,Serbia Pharmaceutical Index (SPI),Combined Sell-in,"17 wholesalers, direct Sales from 7 manufacturers","3,338 pharmacies, 223 Hospitals, 2451 Others*",Not projected,Monthly,From M01 2011,Trade,Serbian Dinar,DOT,-,-,"Notes

•   The 17 wholesalers and 7 direct sales manufacturer panel represents over 93% of the total Serbia pharmaceutical market share by value
•   *Others include Military, homes for the elderly, private clinics w/o beds, etc.",1,Monthly,60 months,Local,Local
Saudi Arabia,Local Purchase Order,1,2022,Saudi Arabia Local Purchase Order (SALPO),Hospital Sell-in,30 Distributors,Local purchase order market,Not projected,Quarterly,12 years,Trade,Saudi Riyals,-,-,-,"Notes

•   The SALPO is a non-projected market indicator, reporting on
volumes collected from participating distributors reflecting the purchases by semi-public and institutional entities from sole-agent distributors, generally outside usual tender agreements
•   This covers census data from
21 distributors (approx. 90% of total LPO market) and is not projected to national level",0.15,Monthly,20 months,Local,-
